,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,Supermere_3D_S16,Supermere_3D_S17,Supermere_3D_S18,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,S1_DiFi_FPLC_2uL,S2_DiFi_His_2uL,S3_CCCR_FPLC_2uL,S4_CCCR_His_2uL
B4GAT1,3.90775351066966,4.23815598922913,3.75597511953115,2.30719248234867,2.6929426969253,2.3300996844005,2.78139836589901,2.87441215271289,2.39465901808086,3.52967766840395,2.87052274241237,1.80729838568951,5.28760753853767,5.44503740258828
BCAT2,1.40496558913105,2.19356649367957,3.46049946846037,3.15354276915406,2.88310498825785,3.17900169483812,3.46881062925699,3.56762411237549,3.37417170152042,3.26766758549116,4.71442159914491,4.47565783689629,2.96280221005881,4.06730666883819
NIPSNAP3A,1.79583841036722,1.88000441901047,2.37018113537312,3.44267489234056,3.20154998803994,3.46871393829317,3.76443962443268,3.86500898675643,3.69196718812032,4.46582470286975,3.59075491016882,2.85791276130325,3.5697570737608,4.19696541262012
NIF3L1,1.79583841036722,2.19356649367957,1.80819401344782,2.79156098401869,3.57683896563117,3.81683549642601,3.76443962443268,4.32186543304007,4.36381789964366,4.19075386455819,4.31758648745847,4.10844989385587,3.72611869406106,1.36536450103624
GLA,3.90775351066966,4.16817335250845,3.84239492811885,2.30719248234867,1.90039543102159,2.3300996844005,2.37755694803547,2.68444247498666,2.96599568467055,2.27379829704961,4.0689504249173,4.39224204046228,4.59141921398203,4.31592623478702
TUBB,3.44475821908342,3.43688942971458,3.22344120934214,3.68342366980374,3.57683896563117,3.70986437727204,2.12341726605266,2.87441215271289,2.79948922561929,0.970107555577958,3.76835394492991,4.8947412723986,3.99566630003699,3.58915210607507
DTD1,2.92456714260332,2.85899769615491,2.77359226354915,2.98387517596422,3.05109597513279,3.33111788635302,2.78139836589901,2.87441215271289,3.11525809989854,3.26766758549116,4.0689504249173,4.10844989385587,3.8671785171225,4.06730666883819
PPIB,3.8262858305465,3.55127575438274,3.56585998587379,2.79156098401869,2.6929426969253,2.81610842924801,3.09656686713733,3.45311269080306,3.37417170152042,3.40461247780794,4.19861812597937,3.08739300188541,3.19466101030515,2.86901391440014
EPHB4,2.75881510914874,3.31264672194125,2.93962089333755,3.3053399029244,3.20154998803994,3.17900169483812,3.46881062925699,3.67371097637403,3.59361346823549,3.64476072173517,3.76835394492991,3.08739300188541,3.3943653313673,2.51834436472457
NANS,2.35622457757371,2.45099647857302,2.37018113537312,3.44267489234056,3.33778484391684,3.0089353083393,3.35507721763994,3.56762411237549,3.37417170152042,2.7557250512015,3.59075491016882,4.47565783689629,3.8671785171225,3.58915210607507
NRDC,3.98486564326738,4.16817335250845,3.08849929500469,2.569609625994,2.21543219554927,3.0089353083393,2.94757194825516,2.68444247498666,3.37417170152042,3.94343374045177,2.87052274241237,3.4593596628752,4.11364078561529,2.86901391440014
IPO7,5.28194438210548,4.88727147797044,5.329072195522,3.56806531410524,3.46225764988683,3.70986437727204,2.37755694803547,2.20754373973101,2.39465901808086,1.54496666834525,2.87052274241237,4.39224204046228,1.89473910179792,1.36536450103624
ARPC2,4.19418193916621,4.01711875952416,3.664046907934,2.569609625994,2.6929426969253,3.0089353083393,2.78139836589901,3.32872237087975,3.11525809989854,2.5347920257034,3.76835394492991,4.10844989385587,3.3943653313673,2.05409420013722
GPC1,3.55000735441012,3.55127575438274,0.875003141627423,4.78957452873536,4.26461401992626,4.40204027147015,2.78139836589901,2.20754373973101,2.61122754728392,3.26766758549116,1.36643426858247,1.80729838568951,4.94972259667932,4.79696315513653
CSE1L,4.81731073452589,4.88727147797044,5.35869795876996,2.98387517596422,2.6929426969253,2.81610842924801,2.12341726605266,3.04225285179898,3.11525809989854,0.970107555577958,1.36643426858247,3.75481421385341,3.19466101030515,4.06730666883819
ALAD,1.40496558913105,1.47880337355778,2.37018113537312,3.3053399029244,3.33778484391684,3.33111788635302,3.46881062925699,3.9519167873388,4.029514809433,4.79968964035458,3.59075491016882,3.61463715409214,3.5697570737608,2.86901391440014
BLMH,2.35622457757371,2.19356649367957,2.11638083409208,1.98618978584291,2.6929426969253,3.17900169483812,4.00967112448003,3.86500898675643,3.87059057316192,4.26459243231498,4.0689504249173,2.58489654140964,3.5697570737608,4.31592623478702
RNH1,4.37694155349423,4.30490036632992,4.60598839746596,2.98387517596422,3.46225764988683,3.33111788635302,1.42149211361405,3.04225285179898,2.96599568467055,0,2.87052274241237,4.20937849266566,3.8671785171225,3.58915210607507
CAPG,1.79583841036722,3.02656962360087,3.08849929500469,3.3053399029244,3.05109597513279,3.17900169483812,3.09656686713733,3.67371097637403,3.69196718812032,2.5347920257034,3.92646700946729,3.9999257955625,4.11364078561529,2.51834436472457
RBBP7,3.8262858305465,4.01711875952416,4.00110120739748,2.79156098401869,2.6929426969253,2.59347357073696,2.5935622517618,2.68444247498666,2.79948922561929,2.5347920257034,3.38818285510002,3.88256926416918,3.72611869406106,3.38660193243663
KRT1,4.25770925331244,3.02656962360087,2.37018113537312,4.56729253781084,1.49677083244156,3.59432192266927,2.94757194825516,1.49028314427186,2.13973876531186,2.7557250512015,4.62497109130796,4.10844989385587,1.89473910179792,5.39186279900754
MYL6,3.07322314924793,3.55127575438274,3.46049946846037,3.3053399029244,3.46225764988683,3.46871393829317,2.37755694803547,3.45311269080306,3.4880608548379,3.52967766840395,3.38818285510002,2.85791276130325,2.34420950104055,2.86901391440014
USP14,4.89927263736643,4.65115831120052,4.91601905629984,3.15354276915406,3.20154998803994,3.17900169483812,1.81472927128529,2.87441215271289,2.39465901808086,1.54496666834525,3.15244730840954,3.61463715409214,2.96280221005881,2.05409420013722
