"","sEVp_2D_S1","sEVp_2D_S2","sEVp_2D_S3","Exomere_2D_S4","Exomere_2D_S5","Exomere_2D_S6","Supermere_2D_S7","Supermere_2D_S8","Supermere_2D_S9","sEVp_3D_S10","sEVp_3D_S11","sEVp_3D_S12","Exomere_3D_S13","Exomere_3D_S14","Exomere_3D_S15","Supermere_3D_S16","Supermere_3D_S17","Supermere_3D_S18","Exomere_FPLC_S19","Exomere_FPLC_S20","Exomere_FPLC_S21","Exomere_FPLC_S22","Supermere_FPLC_S23","Supermere_FPLC_S24","Supermere_FPLC_S25","Supermere_FPLC_S26","sEV_3D_W_S1","sEV_3D_W_S2","sEV_3D_W_S3","sEV_3D_W_S4","hEV_3D_W_S5","hEV_3D_W_S6","hEV_3D_W_S7","hEV_3D_W_S8","NV_3D_W_S9","NV_3D_W_S10","NV_3D_W_S11","NV_3D_W_S12","Supermere_NCB_A","Supermere_NCB_B","Supermere_NCB_C","EV_NCB_A","EV_NCB_B","EV_NCB_C","NV_NCB_A","NV_NCB_B","NV_NCB_C","Exomere_NCB_A","Exomere_NCB_B","Exomere_NCB_C","sEVp_2D_1","sEVp_3D_1_A","sEVp_3D_1_B","sEVp_3D_1_C","Exomere_2D_1","Exomere_3D_1_A","Exomere_3D_1_B","Exomere_3D_1_C","Supermere_2D_1","Supermere_3D_1_A","Supermere_3D_1_B","Supermere_3D_1_C"
"KPNA1",9.40519317348969,8.95290775900733,8.62140450894014,7.01546339993975,8.04392283282124,6.56984343410598,8.1227054887422,7.82938667451096,8.22082913883042,4.01165594855305,6.40482192785443,4.93742270591145,1.00838553243079,2.17510215200218,2.11115223943736,1.08130653810736,0.997800659802059,1.10299480605592,0,1.1265237020316,0,1.42037853991746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78713535060699,6.62871268863225,4.38131470168636,0,0,1.33928212009393,4.09329984108269,4.56838154522153,3.43323969500659,5.62488112429995,5.13954685890834,3.71662632656861,3.58551568056903,1.60215096914001,1.35454977268101,0,2.64467408585056,0,0,0,2.59423632996524,0.648369494608289,1.94441377966817,0
"KPNA2",2.09004292744215,0.994767528778592,6.0349831562581,2.0044181142685,4.02196141641062,4.6927453100757,6.31765982457727,0.97867333431387,5.48055275922028,1.00291398713826,2.74492368336618,0.98748454118229,1.00838553243079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78713535060699,5.892189056562,8.76262940337272,0,1.23956780923994,0,8.18659968216538,7.30941047235445,6.86647939001319,4.92177098376246,6.85272914521112,5.20327685719605,2.15130940834142,0,0,0,1.98350556438792,0,0,0,2.59423632996524,0.648369494608289,0.648137926556057,0
"KPNA3",8.36017170976861,8.95290775900733,8.62140450894014,14.0309267998795,15.0823553115398,13.139686868212,13.537842481237,17.6161200176497,16.4416582776608,3.00874196141479,6.40482192785443,7.89987632945832,9.07546979187715,11.963061836012,11.6113373169055,12.9756784572883,14.9670098970309,12.1329428666151,5.99423458050568,6.75914221218962,1.31121912769312,0,10.1115306686314,10.8995334061352,13.0592523364486,16.804798484689,0,0,0,0,0,0,0,0,0,0,0,0,12.2976626200399,12.5209017451943,14.6043823389545,1.52649690295939,4.95827123695976,4.01784636028178,10.2332496027067,10.9641157085317,9.15530585335091,9.14043182698743,9.42250257466529,8.17657791845094,7.17103136113805,0.801075484570007,0.677274886340503,0.682065124543001,9.91752782193959,3.21397520528095,3.45722202978871,1.35404442937087,10.3769453198609,5.8353254514746,7.77765511867268,6.21912212683467
"KPNA4",4.18008585488431,4.97383764389296,2.58642135268204,7.01546339993975,7.03843247871858,10.3240396821665,8.1227054887422,10.7654066774526,11.8745309783106,3.00874196141479,7.31979648897649,8.88736087064061,7.05869872701556,10.8755107600109,7.38903283803078,11.894371919181,12.9714085774268,12.1329428666151,5.99423458050568,4.50609480812641,5.24487651077246,1.42037853991746,6.43461042549272,8.91780005956517,8.39523364485981,9.45269914763759,0,0,0,0,0,0,0,0,0,0,0,0,14.4678383765175,16.2035199055455,18.2554779236932,3.05299380591879,2.47913561847988,2.67856424018786,8.18659968216538,9.13676309044306,6.86647939001319,9.84354196752492,10.2790937178167,8.17657791845094,7.17103136113805,2.40322645371002,4.74092420438352,2.046195373629,9.25635930047695,7.0707454516181,7.60588846553516,4.0621332881126,14.9168588973001,13.6157593867741,12.9627585311211,11.747230684021
"KPNA6",1.04502146372108,0,1.72428090178803,1.00220905713425,1.00549035410265,0,0.902522832082467,0.97867333431387,0,1.00291398713826,1.82994912224412,0.98748454118229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19065735084318,0,0,1.33928212009393,5.11662480135336,5.48205785426584,4.57765292667546,4.21866084322497,2.56977342945417,2.22997579594117,0,0,0,0,0,0,0,0,0,0,0,0
"KPNB1",30.3056224479112,40.7854686799223,30.1749157812905,66.1457977708605,68.3733440789805,61.9442380929992,41.5160502757935,35.2322400352993,43.8444220737622,40.1165594855305,44.833753494981,37.524412564927,37.3102646999394,33.7140833560338,39.0563164295912,18.3822111478251,22.9494151754474,22.0598961211184,20.3803975737193,27.0365688487585,9.17853389385181,15.6241639390921,1.83846012156935,9.90866673285019,4.66401869158878,1.05029990529307,0,1.67171928649192,1.47735346358792,1.59581101606843,0,0,0,0,0,0,0,0,62.2117050190252,55.2392724052688,54.7664337710795,12.2119752236752,12.3956780923994,9.3749748406575,47.0729481724509,43.8564628341267,45.7765292667546,66.0923532105245,56.5350154479918,67.6425991435487,40.1577756223731,10.4139812994101,16.9318721585126,12.277172241774,56.1993243243243,20.5694413137981,17.9775545549013,12.1863998643378,23.3481269696871,16.8576068598155,15.5553102373454,13.1292578233176
"KPRP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05299380591879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRAS",7.31515024604753,7.95814023022873,4.31070225447007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5269996625042,13.3737542919353,13.2961811722913,22.341354224958,9.92475969506132,3.35834454912517,0,0,0,0,0,0,0,0,0,7.63248451479697,19.833084947839,16.0713854411271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KREMEN1",0,0,0,0,0,0,0,0,0,0,0,0,1.00838553243079,0,0,1.08130653810736,0,1.10299480605592,0,0,0,0,1.83846012156935,0.990866673285019,0.932803738317757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRHB6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67697466467958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRT1",13.585279028374,32.8273284496935,11.2078258616222,1.00220905713425,4.02196141641062,13.139686868212,19.8555023058143,7.82938667451096,4.56712729935023,26.0757636655949,34.7690333226383,20.7371753648281,40.3354212972318,21.7510215200218,17.9447940352176,24.8700503764693,1.99560131960412,12.1329428666151,43.1584889796409,25.9100451467269,64.2497372569627,56.8151415966985,7.3538404862774,1.98173334657004,3.73121495327103,6.30179943175839,111.161997975025,43.4647014487899,38.411190053286,59.0450075945319,188.570434206165,389.56796769852,137.303110833203,47.3734796796203,149.743796884016,378.456940874036,265.593400745077,574.293020777837,24.5953252400797,23.568756226248,38.7016131982295,325.143840330351,172.299925484352,141.963904729956,44.0029732916389,67.6120468692787,124.741042251906,18.9839737945123,39.403192584964,26.759709551294,50.9143226640802,36.8494722902203,12.8682228404696,19.097823487204,29.7525834658188,13.49869586218,307.692760651195,19.6336442258776,52.533285681796,64.8369494608289,50.5547582713724,57.3541262808086
"KRT10",8.36017170976861,30.8377933921363,3.44856180357606,0,0,8.44694155813625,9.02522832082467,0,0,22.0641077170418,34.7690333226383,18.7622062824635,22.1844817134775,20.6634704440207,5.27788059859341,22.7074373002546,0,0,37.1642543991352,29.2896162528217,77.3619285338939,45.4521132773588,0.919230060784675,0,0,0,117.89908876139,46.8081400217737,39.8885435168739,51.0659525141898,152.179648657607,248.517496635262,102.977333124902,26.6475823197864,149.743796884016,288.653598971722,127.484832357637,542.387852956846,0,0,0,427.41913282863,309.891952309985,145.981751090238,45.0262982519096,65.78469425119,123.596629020237,18.2808636539749,38.5466014418126,23.7864084900391,0,0,0,0,0,0,0,0,0,0,0,0
"KRT14",0,0.994767528778592,0,0,0,0,0,0,0,1.00291398713826,1.82994912224412,0,0,0,0,0,0,0,1.19884691610114,0,9.17853389385181,1.42037853991746,0,0,0,0,5.05281808977388,1.67171928649192,1.47735346358792,1.59581101606843,13.2330129267484,33.5834454912517,3.12052524620916,0,5.75937680323139,12.8290488431877,37.1830761043108,74.4453915823122,5.78713535060699,0,0,71.7453544390915,47.1035767511177,30.8034887621603,5.11662480135336,14.6188209447089,35.4768101817348,2.81244056214998,6.85272914521112,1.48665053062744,5.73682508891044,4.00537742285003,0,1.364130249086,3.96701112877583,0,49.7839972289574,3.38511107342717,4.53991357743916,11.6706509029492,9.72206889834086,7.60114926613127
"KRT16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.150067294751,0,0,0,0,0,15.9525839104955,0,0,0,48.8479008947006,37.1870342771982,12.0535390808454,8.18659968216538,14.6188209447089,32.0435704867282,0,3.42636457260556,1.48665053062744,2.86841254445522,1.60215096914001,0,0,0,5.14236032844953,55.3155524766193,0,3.89135449494785,0,0,0
"KRT17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8444597384721,14.8748137108793,8.03569272056357,3.06997488081202,5.48205785426584,14.8773720116952,2.81244056214998,0,1.48665053062744,0,0,0,0,0,0,0,0,0,0,0,0
