protein,2DEVP_S1,2DEVP_S2,2DEVP_S3,2DExomere_S1,2DExomere_S2,2DExomere_S3,2DSuper_S1,2DSuper_S2,2DSuper_S3,3DEVP_S1,3DEVP_S2,3DEVP_S3,3DExomere_S1,3DExomere_S2,3DExomere_S3,3DSuper_S1,3DSuper_S2,3DSuper_S3,FPLCExomere_S1,FPLCExomere_S2,FPLCExomere_S3,FPLCExomere_S4,FPLCSuper_S1,FPLCSuper_S2,FPLCSuper_S3,FPLCSuper_S4,3DEV_S1,3DEV_S2,3DEV_S3,3DEV_S4,3DhEV_S1,3DhEV_S2,3DhEV_S3,3DhEV_S4,3DNV_S1,3DNV_S2,3DNV_S3,3DNV_S4
EIF4A3,4.577997335,4.247579354,5.365333244,4.023911454,3.64247482,3.848399125,2.405039482,2.240990417,3.141943704,3.639070203,3.814276912,3.091114753,2.275117866,2.037874702,2.005425354,0,0,0,1.098576504,2.894418153,0,3.387705307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF4B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90705003,1.937434512,1.473143559,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF4E,1.58012073,2.259576362,2.56684197,1.949586033,1.953082406,1.47881758,0.894759661,1.51783371,1.453839514,1.950337883,0.903929473,0.956200116,1.546060213,1.618677671,1.589786044,1.61308057,1.53606782,2.053289965,0,1.05142317,1.806054709,1.234105921,0.90705003,0.958592587,1.473143559,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF4E2,0.996370196,0.961347078,1.401468483,0.966587184,0.968891745,0.921132385,1.442864021,1.924256156,1.453839514,0,0,0,0,0,0,0,0,0,0,0,0,0,1.459649025,1.529484238,1.473143559,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF4G1,1.58012073,0.961347078,2.351701379,1.949586033,2.271827737,1.47881758,3.126593151,3.606636986,3.980443085,2.941892081,3.144111598,3.242104959,3.269158334,3.367259864,3.176352815,3.497640075,3.930758617,3.873048029,1.098576504,1.05142317,1.168913826,2.338300494,4.622379572,4.312393749,4.421358596,4.700439718,0,0,0,0,0,0,0,0,0,0,0,0
EIF4G2,0.996370196,0.961347078,0,0,0,0,1.839113208,1.924256156,0.90279184,0.96708259,0.903929473,0.956200116,0,1.025359956,0,2.620025286,2.263052434,2.053289965,0,0,0,0,3.285708808,3.246517199,3.543195199,3.584962501,1.380514028,0,1.931003366,2.013916734,0,0,0,0,0,0,0,0
EIF5,1.58012073,1.533191662,2.919685889,1.540237874,1.543333959,1.47881758,1.839113208,2.240990417,2.419108186,2.268893588,2.164986415,2.511206051,2.275117866,3.044091598,2.813553664,0,0,1.03574445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF5A,2.801126798,2.519953374,2.351701379,2.749592966,2.532736393,2.859016798,3.261982234,3.491832663,3.401423861,2.941892081,3.144111598,3.091114753,2.536168495,2.850560031,2.327714414,3.207295283,3.392338026,3.061983348,1.098576504,1.05142317,1.806054709,1.234105921,3.285708808,3.508117252,3.428871228,1,2.89033867,4.08036687,3.439119207,3.540486385,2.053047961,2.069533795,1.989531496,0,0,0,0,0
EIF5B,0.996370196,1.941625202,2.754024153,2.528836668,2.753608502,2.669391044,3.261982234,3.367096615,3.515531724,3.1108756,3.144111598,2.731434726,0.970922069,0,1.003619168,0,0,0,0,0,0,0,0.90705003,0.958592587,0.916958742,1,0,0,0,0,0,0,0,0,0,0,0,0
EIF6,3.452825167,3.513288396,3.821059837,3.523102099,3.402362581,3.176707196,3.703787505,3.491832663,3.812006199,2.529675346,2.421096055,2.251195448,0.970922069,1.618677671,2.005425354,2.031594606,1.944875303,2.644053871,0,1.653127323,0,1.234105921,0,1.529484238,0.916958742,0,1.380514028,1.373875901,1.931003366,1.333072201,0,0,0,0,0,0,0,0
EIPR1,0,0,1.401468483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELAC2,1.58012073,0.961347078,2.098758683,1.540237874,0.968891745,0.921132385,0,0,0,0.96708259,0.903929473,0,0,0,1.003619168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELAVL1,0,0,0,0,0,0.921132385,0.894759661,1.51783371,1.851615862,0,0,0,0,0,0,0,0.963485218,0,0,0,0,0,2.644143159,2.5152748,2.661928568,1,0,0,0,0,0,0,0,0,0,0,0,0
ELOB,0,0,2.098758683,0,0,0,0,1.924256156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90705003,0.958592587,0.916958742,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOC,0.996370196,0.961347078,1.401468483,0.966587184,1.953082406,0.921132385,0,1.51783371,1.453839514,1.540903575,1.455392216,0.956200116,0,0,0,0,0,0,0,1.05142317,0,0,0,1.529484238,1.473143559,0,0,0,0,0,0,0,0,0,0,0,0,0
ELP1,2.578907744,2.740444656,2.919685889,0,0.968891745,0,0,0,0,0,1.853383544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELP2,0,0,1.401468483,0.966587184,0.968891745,0,0.894759661,0,0,0.96708259,0.903929473,0.956200116,0,1.025359956,0,0,0,0,0,1.653127323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELP3,0.996370196,1.533191662,0.864613417,0.966587184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELP4,0,0,0,1.540237874,0,1.880020556,0.894759661,0.9499485,0.90279184,0.96708259,0,0,0,0,0,0,0,0,0,0,1.168913826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELP6,0,0,0,0.966587184,1.953082406,2.193583806,0,0.9499485,0.90279184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMG1,2.578907744,2.519953374,2.754024153,1.949586033,1.543333959,1.47881758,0,0,0.90279184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
